Frequency(Hz)	S21_complex
4.620042004200e+09	-9.018836517764e-01+2.581931051594e-01j
4.620162016202e+09	-8.956165486492e-01+2.788632810291e-01j
4.620282028203e+09	-8.888639300701e-01+2.993892115128e-01j
4.620402040204e+09	-8.816480459706e-01+3.197480882048e-01j
4.620522052205e+09	-8.739526010612e-01+3.399479213823e-01j
4.620642064206e+09	-8.657969525492e-01+3.599449290071e-01j
4.620762076208e+09	-8.571730367706e-01+3.797862209942e-01j
4.620882088209e+09	-8.481072317340e-01+3.994029589850e-01j
4.621002100210e+09	-8.385830113445e-01+4.188191385197e-01j
4.621122112211e+09	-8.286065566378e-01+4.379989769450e-01j
4.621242124212e+09	-8.181962513343e-01+4.569621747293e-01j
4.621362136214e+09	-8.073419382699e-01+4.756609447087e-01j
4.621482148215e+09	-7.960394791767e-01+4.941055009918e-01j
4.621602160216e+09	-7.843222040371e-01+5.123037206769e-01j
4.621722172217e+09	-7.722042661254e-01+5.302272909981e-01j
4.621842184218e+09	-7.596577077711e-01+5.478472578969e-01j
4.621962196220e+09	-7.467098589898e-01+5.651996421179e-01j
4.622082208221e+09	-7.333521157548e-01+5.822340169482e-01j
4.622202220222e+09	-7.196147145474e-01+5.989649007143e-01j
4.622322232223e+09	-7.054856822514e-01+6.153628733810e-01j
4.622442244224e+09	-6.909789644578e-01+6.314401941709e-01j
4.622562256226e+09	-6.761092658700e-01+6.471653321116e-01j
4.622682268227e+09	-6.608567178092e-01+6.625618214401e-01j
4.622802280228e+09	-6.452730043728e-01+6.775886708025e-01j
4.622922292229e+09	-6.293146328766e-01+6.922514603785e-01j
4.623042304230e+09	-6.130408191642e-01+7.065511928547e-01j
4.623162316232e+09	-5.964394423338e-01+7.204672061042e-01j
4.623282328233e+09	-5.795269716876e-01+7.339879990933e-01j
4.623402340234e+09	-5.622738040051e-01+7.471148778743e-01j
4.623522352235e+09	-5.447293501328e-01+7.598422040857e-01j
4.623642364236e+09	-5.268978114925e-01+7.721527368619e-01j
4.623762376238e+09	-5.087866140171e-01+7.840463628453e-01j
4.623882388239e+09	-4.903829473329e-01+7.955218539748e-01j
4.624002400240e+09	-4.717362842580e-01+8.065791046722e-01j
4.624122412241e+09	-4.528344656487e-01+8.171944275896e-01j
4.624242424242e+09	-4.336720521463e-01+8.273511089653e-01j
4.624362436244e+09	-4.142980234103e-01+8.370771065211e-01j
4.624482448245e+09	-3.946936223925e-01+8.463465442066e-01j
4.624602460246e+09	-3.748748371510e-01+8.551658564562e-01j
4.624722472247e+09	-3.548516789468e-01+8.634954623668e-01j
4.624842484248e+09	-3.346470399738e-01+8.713819730401e-01j
4.624962496250e+09	-3.142586938652e-01+8.787872204225e-01j
4.625082508251e+09	-2.937012266221e-01+8.857248239040e-01j
4.625202520252e+09	-2.729780438694e-01+8.921614574171e-01j
4.625322532253e+09	-2.521267561191e-01+8.981307859829e-01j
4.625442544254e+09	-2.311386776744e-01+9.036035788964e-01j
4.625562556256e+09	-2.100168046530e-01+9.085888784522e-01j
4.625682568257e+09	-1.887846199600e-01+9.130880388895e-01j
4.625802580258e+09	-1.674454270009e-01+9.170679081412e-01j
4.625922592259e+09	-1.460251902270e-01+9.205671760521e-01j
4.626042604260e+09	-1.245362564623e-01+9.235767798340e-01j
4.626162616262e+09	-1.029724693220e-01+9.260685690008e-01j
4.626282628263e+09	-8.135844168071e-02+9.280539120984e-01j
4.626402640264e+09	-5.970709680305e-02+9.295354289044e-01j
4.626522652265e+09	-3.801825583878e-02+9.305216468757e-01j
4.626642664266e+09	-1.631425400104e-02+9.309980764071e-01j
4.626762676268e+09	5.405146947169e-03+9.309512524335e-01j
4.626882688269e+09	2.711324927101e-02+9.304053496467e-01j
4.627002700270e+09	4.879600320184e-02+9.293609914565e-01j
4.627122712271e+09	7.045227531283e-02+9.278044647886e-01j
4.627242724272e+09	9.207486707429e-02+9.257402769732e-01j
4.627362736274e+09	1.136295658255e-01+9.231554045678e-01j
4.627482748275e+09	1.351219038789e-01+9.200855765595e-01j
4.627602760276e+09	1.565525613825e-01+9.165191393195e-01j
4.627722772277e+09	1.778864279973e-01+9.124423392224e-01j
4.627842784278e+09	1.991102604935e-01+9.078681199293e-01j
4.627962796280e+09	2.202271985314e-01+9.027864338483e-01j
4.628082808281e+09	2.412257048398e-01+8.972241139544e-01j
4.628202820282e+09	2.620811340938e-01+8.911760829342e-01j
4.628322832283e+09	2.827986883116e-01+8.846235602253e-01j
4.628442844284e+09	3.033520606291e-01+8.776005129235e-01j
4.628562856286e+09	3.237375085323e-01+8.700864133190e-01j
4.628682868287e+09	3.439433514638e-01+8.621074270730e-01j
4.628802880288e+09	3.639480070025e-01+8.536484302864e-01j
4.628922892289e+09	3.837568861127e-01+8.447293052222e-01j
4.629042904290e+09	4.033475178738e-01+8.353509566588e-01j
4.629162916292e+09	4.227026185538e-01+8.254911888922e-01j
4.629282928293e+09	4.418393051610e-01+8.152078823101e-01j
4.629402940294e+09	4.607175883651e-01+8.044606621820e-01j
4.629522952295e+09	4.793424209172e-01+7.932779089642e-01j
4.629642964296e+09	4.977063973073e-01+7.816580584062e-01j
4.629762976298e+09	5.157911088882e-01+7.696166989775e-01j
4.629882988299e+09	5.335804239562e-01+7.571484690646e-01j
4.630003000300e+09	5.510729803474e-01+7.442739622166e-01j
4.630123012301e+09	5.682638938212e-01+7.309792767429e-01j
4.630243024302e+09	5.851247264569e-01+7.172918696397e-01j
4.630363036304e+09	6.016631581059e-01+7.032190552708e-01j
4.630483048305e+09	6.178700194116e-01+6.887423146927e-01j
4.630603060306e+09	6.337301661855e-01+6.739023605223e-01j
4.630723072307e+09	6.492296957105e-01+6.586830665256e-01j
4.630843084308e+09	6.643899316989e-01+6.431123394101e-01j
4.630963096310e+09	6.791556160990e-01+6.271759469310e-01j
4.631083108311e+09	6.935493263266e-01+6.109158841374e-01j
4.631203120312e+09	7.075534148697e-01+5.943119637520e-01j
4.631323132313e+09	7.211665652986e-01+5.773827283315e-01j
4.631443144314e+09	7.343709858892e-01+5.601329239099e-01j
4.631563156316e+09	7.471758708003e-01+5.425825888431e-01j
4.631683168317e+09	7.595420927982e-01+5.247390440575e-01j
4.631803180318e+09	7.715088465350e-01+5.065981934833e-01j
4.631923192319e+09	7.830292777143e-01+4.881945489134e-01j
4.632043204320e+09	7.941204476340e-01+4.695094569424e-01j
4.632163216322e+09	8.047632664411e-01+4.505822070592e-01j
4.632283228323e+09	8.149545925079e-01+4.313929847090e-01j
4.632403240324e+09	8.246830940632e-01+4.119801928303e-01j
4.632523252325e+09	8.339527696305e-01+3.923566373949e-01j
4.632643264326e+09	8.427724500327e-01+3.725057718730e-01j
4.632763276328e+09	8.510954866217e-01+3.524535069519e-01j
4.632883288329e+09	8.589620698287e-01+3.322180848859e-01j
4.633003300330e+09	8.663369490165e-01+3.117890982813e-01j
4.633123312331e+09	8.732343909359e-01+2.912005833764e-01j
4.633243324332e+09	8.796485524323e-01+2.704695365065e-01j
4.633363336334e+09	8.855543303006e-01+2.495739316427e-01j
4.633483348335e+09	8.909695651415e-01+2.285525037544e-01j
4.633603360336e+09	8.958850615170e-01+2.074031998323e-01j
4.633723372337e+09	9.003032532086e-01+1.861528788291e-01j
4.633843384338e+09	9.042170988847e-01+1.648039691209e-01j
4.633963396340e+09	9.076208561839e-01+1.433822022827e-01j
4.634083408341e+09	9.105096667155e-01+1.218582878776e-01j
4.634203420342e+09	9.128972941287e-01+1.002975872437e-01j
4.634323432343e+09	9.147755888210e-01+7.867672127245e-02j
4.634443444344e+09	9.161414824547e-01+5.702407907051e-02j
4.634563456346e+09	9.169884428175e-01+3.534463942461e-02j
4.634683468347e+09	9.173200823401e-01+1.364902119310e-02j
4.634803480348e+09	9.171317754192e-01-8.046100004671e-03j
4.634923492349e+09	9.164416318053e-01-2.973461580436e-02j
4.635043504350e+09	9.152480955582e-01-5.138305958786e-02j
4.635163516352e+09	9.135178175797e-01-7.300958202345e-02j
4.635283528353e+09	9.112944116821e-01-9.456874179770e-02j
4.635403540354e+09	9.085459266329e-01-1.160852932766e-01j
4.635523552355e+09	9.052886837212e-01-1.375170268065e-01j
4.635643564356e+09	9.015226882188e-01-1.588869637796e-01j
4.635763576358e+09	8.972642314103e-01-1.801372019218e-01j
4.635883588359e+09	8.924937584265e-01-2.012829896983e-01j
4.636003600360e+09	8.872219649118e-01-2.223195025692e-01j
4.636123612361e+09	8.814598832754e-01-2.432028055952e-01j
4.636243624362e+09	8.752083243180e-01-2.639573456024e-01j
4.636363636364e+09	8.684589987606e-01-2.845441870304e-01j
4.636483648365e+09	8.612026393678e-01-3.049671017982e-01j
4.636603660366e+09	8.534904778956e-01-3.252166686931e-01j
4.636723672367e+09	8.452914029064e-01-3.452803493947e-01j
4.636843684368e+09	8.366226520706e-01-3.651149448513e-01j
4.636963696370e+09	8.274839043972e-01-3.847631166545e-01j
4.637083708371e+09	8.178773941644e-01-4.041740030603e-01j
4.637203720372e+09	8.078132953902e-01-4.233474362485e-01j
4.637323732373e+09	7.972902899643e-01-4.422705294460e-01j
4.637443744374e+09	7.863322640443e-01-4.609510773995e-01j
4.637563756376e+09	7.749337209578e-01-4.793552571680e-01j
4.637683768377e+09	7.630978778062e-01-4.974730113893e-01j
4.637803780378e+09	7.508313397058e-01-5.153120969992e-01j
4.637923792379e+09	7.381516068080e-01-5.328522025193e-01j
4.638043804380e+09	7.250677822621e-01-5.500817549516e-01j
4.638163816382e+09	7.115590373091e-01-5.669870584975e-01j
4.638283828383e+09	6.976659825991e-01-5.835809740898e-01j
4.638403840384e+09	6.833789779684e-01-5.998120733865e-01j
4.638523852385e+09	6.687166914034e-01-6.157045973260e-01j
4.638643864386e+09	6.536718136470e-01-6.312470276225e-01j
4.638763876388e+09	6.382642329679e-01-6.464245568198e-01j
4.638883888389e+09	6.225071117372e-01-6.612181474880e-01j
4.639003900390e+09	6.064084682944e-01-6.756460503138e-01j
4.639123912391e+09	5.899674619765e-01-6.896664426578e-01j
4.639243924392e+09	5.731914738731e-01-7.032885850674e-01j
4.639363936394e+09	5.560997193651e-01-7.165227094843e-01j
4.639483948395e+09	5.386971892584e-01-7.293295510062e-01j
4.639603960396e+09	5.210061839224e-01-7.417364319821e-01j
4.639723972397e+09	5.030261340168e-01-7.536908243259e-01j
4.639843984398e+09	4.847646896021e-01-7.652266732200e-01j
4.639963996400e+09	4.662175546429e-01-7.762986165957e-01j
4.640084008401e+09	4.474323827269e-01-7.869347142113e-01j
4.640204020402e+09	4.284164806439e-01-7.971246710369e-01j
4.640324032403e+09	4.091337310189e-01-8.068587333692e-01j
4.640444044404e+09	3.896486506006e-01-8.161181326155e-01j
4.640564056406e+09	3.699342002202e-01-8.249139512775e-01j
4.640684068407e+09	3.500359252877e-01-8.332271509404e-01j
4.640804080408e+09	3.299402853713e-01-8.410675003971e-01j
4.640924092409e+09	3.096499169909e-01-8.484163463153e-01j
4.641044104410e+09	2.892037260825e-01-8.552749271184e-01j
4.641164116412e+09	2.686184044430e-01-8.616527666627e-01j
4.641284128413e+09	2.478713370218e-01-8.675314974449e-01j
4.641404140414e+09	2.270040099571e-01-8.729066021824e-01j
4.641524152415e+09	2.060197093647e-01-8.777769785076e-01j
4.641644164416e+09	1.849207174160e-01-8.821601051018e-01j
4.641764176418e+09	1.637279560653e-01-8.860175090209e-01j
4.641884188419e+09	1.424372095419e-01-8.893808612838e-01j
4.642004200420e+09	1.211022514680e-01-8.922189625028e-01j
4.642124212421e+09	9.968728371052e-02-8.945442519440e-01j
4.642244224422e+09	7.823940700713e-02-8.963594262746e-01j
4.642364236424e+09	5.676227472362e-02-8.976657656643e-01j
4.642484248425e+09	3.525751304580e-02-8.984456770519e-01j
4.642604260426e+09	1.373994793958e-02-8.987180677883e-01j
4.642724272427e+09	-7.769502526109e-03-8.984773096566e-01j
4.642844284428e+09	-2.926754803874e-02-8.977176303559e-01j
4.642964296430e+09	-5.073910926792e-02-8.964282139807e-01j
4.643084308431e+09	-7.216148565414e-02-8.946406343552e-01j
4.643204320432e+09	-9.352779419293e-02-8.923318536853e-01j
4.643324332433e+09	-1.148421170860e-01-8.895297604048e-01j
4.643444344434e+09	-1.360703614374e-01-8.861953195033e-01j
4.643564356436e+09	-1.572118220617e-01-8.823579711670e-01j
4.643684368437e+09	-1.782456506340e-01-8.780288910612e-01j
4.643804380438e+09	-1.991630269359e-01-8.731847790124e-01j
4.643924392439e+09	-2.199581411349e-01-8.678424735139e-01j
4.644044404440e+09	-2.406045146023e-01-8.620013361073e-01j
4.644164416442e+09	-2.611129586016e-01-8.556750788880e-01j
4.644284428443e+09	-2.814709705618e-01-8.488501034763e-01j
4.644404440444e+09	-3.016265710775e-01-8.415366069500e-01j
4.644524452445e+09	-3.216199266192e-01-8.337468581139e-01j
4.644644464446e+09	-3.413957428610e-01-8.254910442099e-01j
4.644764476448e+09	-3.609867793910e-01-8.167413739432e-01j
4.644884488449e+09	-3.803408821113e-01-8.075524463568e-01j
4.645004500450e+09	-3.994663613143e-01-7.978866506439e-01j
4.645124512451e+09	-4.183489488462e-01-7.877681562892e-01j
4.645244524452e+09	-4.369810528576e-01-7.771919014739e-01j
4.645364536454e+09	-4.553528531520e-01-7.661827194273e-01j
4.645484548455e+09	-4.734546599560e-01-7.547444856847e-01j
4.645604560456e+09	-4.912609101293e-01-7.428666414004e-01j
4.645724572457e+09	-5.087756215024e-01-7.305612600731e-01j
4.645844584458e+09	-5.259831523448e-01-7.178500053228e-01j
4.645964596460e+09	-5.428799422371e-01-7.047277037655e-01j
4.646084608461e+09	-5.594439728782e-01-6.912060719067e-01j
4.646204620462e+09	-5.756894992634e-01-6.772930792188e-01j
4.646324632463e+09	-5.915709475778e-01-6.629931444965e-01j
4.646444644464e+09	-6.071090504874e-01-6.483152157051e-01j
4.646564656466e+09	-6.222842165579e-01-6.332790173817e-01j
4.646684668467e+09	-6.370884195950e-01-6.178824011821e-01j
4.646804680468e+09	-6.515143749443e-01-6.021392111511e-01j
4.646924692469e+09	-6.655570833342e-01-5.860424064976e-01j
4.647044704470e+09	-6.792053088789e-01-5.696362339856e-01j
4.647164716472e+09	-6.924297879205e-01-5.528934496358e-01j
4.647284728473e+09	-7.052710744872e-01-5.358537831251e-01j
4.647404740474e+09	-7.176773537734e-01-5.185091816147e-01j
4.647524752475e+09	-7.296690057890e-01-5.008734009875e-01j
4.647644764476e+09	-7.412357341580e-01-4.829495713376e-01j
4.647764776478e+09	-7.523453996793e-01-4.647766290649e-01j
4.647884788479e+09	-7.630177402677e-01-4.463222936943e-01j
4.648004800480e+09	-7.732330073068e-01-4.276314845502e-01j
4.648124812481e+09	-7.830010717021e-01-4.087126324396e-01j
4.648244824482e+09	-7.923044447618e-01-3.895518109599e-01j
4.648364836484e+09	-8.011292345145e-01-3.701937334858e-01j
4.648484848485e+09	-8.095008789978e-01-3.506270472943e-01j
4.648604860486e+09	-8.173821359368e-01-3.308597471975e-01j
4.648724872487e+09	-8.247837764615e-01-3.109324373583e-01j
4.648844884488e+09	-8.317036244955e-01-2.908181208948e-01j
4.648964896490e+09	-8.381208481356e-01-2.705564389430e-01j
4.649084908491e+09	-8.440480581085e-01-2.501531931194e-01j
4.649204920492e+09	-8.495065956289e-01-2.296170228333e-01j
4.649324932493e+09	-8.544363608245e-01-2.089593908315e-01j
4.649444944494e+09	-8.588641338418e-01-1.881902880034e-01j
4.649564956496e+09	-8.628025318529e-01-1.673398039853e-01j
4.649684968497e+09	-8.662229281909e-01-1.463909902720e-01j
4.649804980498e+09	-8.691449215541e-01-1.253769113406e-01j
4.649924992499e+09	-8.715471903760e-01-1.043004321670e-01j
4.650045004500e+09	-8.734400172341e-01-8.319329020353e-02j
4.650165016502e+09	-8.748234920580e-01-6.202967854484e-02j
4.650285028503e+09	-8.756976148163e-01-4.085383710308e-02j
4.650405040504e+09	-8.760531822291e-01-1.968623741816e-02j
4.650525052505e+09	-8.758965470322e-01+1.502901185118e-03j
4.650645064506e+09	-8.752245152290e-01+2.266091438646e-02j
